account_screen_name,account_age_days,nb_posts_in_dataset,posts_per_day,account_followers,followers_following_ratio,has_no_description,avg_engagements_per_post
coolspoteback,27,8,130.33333333333334,111.0,0.7115384615384616,False,11.25
jacques196849,21,8,68.71428571428571,85.0,0.2664576802507837,False,0.25
boulicboulic,5,4,58.0,335.0,0.9824046920821115,False,2.0
boulionmusk,10,4,151.5,71.0,0.5182481751824818,False,1.0
clk1366693,29,4,97.41379310344827,13.0,0.3939393939393939,True,1.0
thierrydugard4,23,4,140.65217391304347,285.0,1.3636363636363635,False,5.25
boulinsky,5,3,147.6,400.0,1.0178117048346056,False,2.3333333333333335
dj0830831211,14,3,892.0714285714286,169.0,0.6450381679389313,True,0.0
hildegarde64125,16,3,127.0625,55.0,0.2894736842105263,False,0.3333333333333333
ivrevirguledeux,16,3,168.5625,146.0,0.0811111111111111,False,0.0
juneaurore50711,14,3,127.57142857142857,848.0,0.5901183020180932,False,2.0
mouadib418078,18,3,110.27777777777777,154.0,0.11605124340617935,False,0.3333333333333333
td_bzh,27,3,55.407407407407405,405.0,0.6053811659192825,False,1.3333333333333333
allezdonald,12,2,716.75,406.0,0.2240618101545254,True,1.0
auxilyath,15,2,110.4,101.0,0.26861702127659576,False,0.0
bouliliette,2,2,191.5,654.0,3.40625,False,2.5
dragonbouli,3,2,55.666666666666664,479.0,0.9716024340770791,False,5.5
gandhalf15,13,2,245.3846153846154,51.0,0.13934426229508196,False,0.0
morokonlegrand,21,2,60.095238095238095,98.0,0.07759303246239113,False,1.0
pazuzu6676,19,2,53.10526315789474,37.0,0.5285714285714286,False,3.5
